Die	d	Die	nan
finanzielle	finanziell	finanzielle	nan
Entlohnung	Entlohnung	Entlohnung	nan
eines	ein	eines	nan
Menschen	Mensch	Menschen	nan
ist	sein	ist	nan
offensichtlich	offensichtlich	offensichtlich	nan
eine	ein	eine	nan
Frage	Frage	Frage	nan
der	d	der	nan
Politik	Politik	Politik	nan
und	und	und	nan
nan	nan	ihre	nan
nan	nan	Beantwortung	nan
kommt	kommen	kommt	nan
natürlich	natürlich	natürlich	nan
darauf	darauf	darauf	nan
an	an	an	nan
,	,	,	nan
in	in	in	nan
welcher	welch	welcher	nan
Gesellschaft	Gesellschaft	Gesellschaft	nan
und	und	und	nan
zu	zu	zu	nan
welcher	welch	welcher	nan
Zeit	Zeit	Zeit	nan
man	man	man	nan
wohnt	wohnen	lebt	nan
.	.	.	nan
Im	im	Im	nan
sogenannten	sogenannt	sogenannten	nan
""""	""""	""""	nan
Westen	Weste|Westen	Westen	nan
""""	""""	""""	nan
liegt	liegen	bildet	nan
die	d	die	nan
Entlohnung	Entlohnung	Entlohnung	nan
im	im	den	nan
Herzen	Herz|Herzen	Kern	nan
der	d	der	nan
herrschenden	herrschend	herrschenden	nan
kapitalistischen	kapitalistisch	kapitalistischen	nan
Übereinstimmung	Übereinstimmung	Übereinstimmung	nan
.	.	.	nan
Was	was	Was	nan
wir	wir	wir	nan
hier	hier	hier	nan
erörten	[unknown]	erörtern	nan
werden	werden	werden	nan
nan	nan	,	nan
ist	sein	ist	nan
eigentlich	eigentlich	eigentlich	nan
die	d	die	nan
Frage	Frage	Frage	nan
der	d	der	nan
Rolle	Rolle	Rolle	nan
und	und	und	nan
Wichtigkeit	Wichtigkeit	Wichtigkeit	nan
einer	ein	einer	nan
Entlohnung	Entlohnung	Entlohnung	nan
,	,	nan	nan
und	und	und	nan
natürlich	natürlich	natürlich	nan
auch	auch	auch	nan
das	d	das	nan
dazu	dazu	dazu	nan
entsprechende	entsprechend	passende	nan
Thema	Thema	Thema	nan
der	d	der	nan
menschlichen	menschlich	menschlichen	nan
Natur	Natur	Natur	nan
.	.	.	nan
Heute	heute	Heute	nan
spielt	spielen	spielt	nan
den	d	der	nan
gesellschaftlichen	gesellschaftlich	gesellschaftliche	nan
Beitrag	Beitrag	Beitrag	nan
eines	ein	eines	nan
Menschen	Mensch	Menschen	nan
kaum	kaum	kaum	nan
nan	nan	noch	nan
eine	ein	eine	nan
Rolle	Rolle	Rolle	nan
bei	bei	bei	nan
der	d	der	nan
Rechnung	Rechnung	Berechnung	nan
eines	ein	eines	nan
Lohns	Lohn	Lohns	nan
.	.	.	nan
Das	d	Das	nan
Gehalt	Gehalt	Gehalt	nan
ist	sein	ist	nan
normalerweise	normalerweise	normalerweise	nan
höher	hoch	höher	nan
,	,	,	nan
je	je	je	nan
lang	lang	länger	nan
man	man	man	nan
arbeitet	arbeiten	arbeitet	nan
und	und	und	nan
besonders	besonders	besonders	nan
an	an	auf	nan
welchem	welch	einem	nan
nan	nan	höheren	nan
Niveau	Niveau	Niveau	nan
.	.	.	nan
Zum	zum	nan	nan
Beispiel	Beispiel	nan	nan
,	,	nan	nan
ein	ein	Ein	nan
Angestellte	Angestellte	Angestellter	nan
vom	vom	der	nan
Dresdner	Dresdner	Dresdner	nan
Bank	Bank	Bank	nan
in	in	in	nan
Frankfurt	Frankfurt	Frankfurt	nan
wird	werden	wird	nan
nan	nan	zum	nan
nan	nan	Beispiel	nan
ohne	ohne	ohne	nan
Frage	Frage	Frage	nan
viel	viel	viel	nan
mehr	mehr	mehr	nan
verdienen	verdienen	verdienen	nan
als	als	als	nan
ein	ein	ein	nan
Geschäftsmann	Geschäftsmann	Geschäftsmann	nan
in	in	in	nan
einer	ein	einer	nan
kleinen	klein	kleinen	nan
Stadt	Stadt	Stadt	nan
in	in	in	nan
Oberbayern	Oberbayern	Oberbayern	nan
.	.	.	nan
Der	d	Der	nan
Angestellte	Angestellte	Angestellte	nan
der	d	der	nan
Bank	Bank	Bank	nan
wird	werden	wird	nan
vielleicht	vielleicht	vielleicht	nan
ein	ein	ein	nan
bisschen	bißchen	bisschen	nan
länger	lang	länger	nan
arbeiten	arbeiten	arbeiten	nan
und	und	und	nan
muss	müssen	muss	nan
bei	bei	bei	nan
der	d	der	nan
Arbeit	Arbeit	Arbeit	nan
viel	viel	viel	nan
mehr	mehr	mehr	nan
finanzielle	finanziell	finanzielle	nan
Verantwortung	Verantwortung	Verantwortung	nan
tragen	tragen	tragen	nan
,	,	,	nan
aber	aber	aber	nan
im	im	im	nan
Grunde	Grund	Grunde	nan
sind	sein	sind	nan
beide	beide	beide	nan
sehr	sehr	sehr	nan
fleißig	fleißig	fleißig	nan
.	.	.	nan
Unsere	unser	Unsere	nan
Gesellschaft	Gesellschaft	Gesellschaft	nan
gibt	geben	gibt	nan
dem	d	dem	nan
einen	ein	Bankier	nan
ein	ein	ein	nan
riesiges	riesig	riesiges	nan
Gehalt	Gehalt	Gehalt	nan
und	und	und	nan
bewertet	bewerten	bewertet	nan
den	d	den	nan
ländlichen	ländlich	ländlichen	nan
Geschäftsmann	Geschäftsmann	Geschäftsmann	nan
als	als	als	nan
