Die	d	nan	nan	nan
finanzielle	finanziell	nan	nan	nan
Entlohnung	Entlohnung	nan	nan	nan
eines	ein	nan	nan	nan
Menschen	Mensch	nan	nan	nan
ist	sein	nan	nan	nan
offensichtlich	offensichtlich	nan	nan	nan
eine	ein	nan	nan	nan
Frage	Frage	nan	nan	nan
der	d	nan	nan	nan
Politik	Politik	nan	nan	nan
und	und	nan	nan	nan
nan	nan	nan	nan	nan
nan	nan	nan	nan	nan
kommt	kommen	ankommen	vpart	nan
natürlich	natürlich	nan	nan	nan
darauf	darauf	nan	nan	nan
an	an	nan	ppart	nan
,	,	nan	nan	nan
in	in	nan	nan	nan
welcher	welch	nan	nan	nan
Gesellschaft	Gesellschaft	nan	nan	nan
und	und	nan	nan	nan
zu	zu	nan	nan	nan
welcher	welch	nan	nan	nan
Zeit	Zeit	nan	nan	nan
man	man	nan	nan	nan
wohnt	wohnen	nan	nan	nan
.	.	nan	nan	nan
Im	im	nan	nan	nan
sogenannten	sogenannt	nan	nan	nan
""""	""""	nan	nan	nan
Westen	Weste|Westen	nan	nan	nan
""""	""""	nan	nan	nan
liegt	liegen	nan	nan	nan
die	d	nan	nan	nan
Entlohnung	Entlohnung	nan	nan	nan
im	im	nan	nan	nan
Herzen	Herz|Herzen	nan	nan	nan
der	d	nan	nan	nan
herrschenden	herrschend	nan	nan	nan
kapitalistischen	kapitalistisch	nan	nan	nan
Übereinstimmung	Übereinstimmung	nan	nan	nan
.	.	nan	nan	nan
Was	was	nan	nan	nan
wir	wir	nan	nan	nan
hier	hier	nan	nan	nan
erörten	[unknown]	erörtern	vpräf	nan
werden	werden	nan	nan	nan
nan	nan	nan	nan	nan
ist	sein	nan	nan	nan
eigentlich	eigentlich	nan	nan	nan
die	d	nan	nan	nan
Frage	Frage	nan	nan	nan
der	d	nan	nan	nan
Rolle	Rolle	nan	nan	nan
und	und	nan	nan	nan
Wichtigkeit	Wichtigkeit	nan	nan	nan
einer	ein	nan	nan	nan
Entlohnung	Entlohnung	nan	nan	nan
,	,	nan	nan	nan
und	und	nan	nan	nan
natürlich	natürlich	nan	nan	nan
auch	auch	nan	nan	nan
das	d	nan	nan	nan
dazu	dazu	nan	nan	nan
entsprechende	entsprechend	nan	nan	nan
Thema	Thema	nan	nan	nan
der	d	nan	nan	nan
menschlichen	menschlich	nan	nan	nan
Natur	Natur	nan	nan	nan
.	.	nan	nan	nan
