ändern,verändern,,,,
antworten,beantworten,,,,
arbeiten,bearbeiten,,,,
bieten,erbieten,verbieten,,,
brauchen,gebrauchen,,,,
bringen,erbringen,verbringen,,,
dienen,verdienen,,,,
drohen,bedrohen,,,,
enden,beenden,,,,
fahren,erfahren,,,,
fallen,gefallen,,,,
finden,befinden,,,,
folgen,verfolgen,,,,
fragen,befragen,,,,
geben,ergeben,,,,
gehen,begehen,,,,
halten,behalten,enthalten,erhalten,verhalten,beinhalten
handeln,behandeln,,,,
herrschen,beherrschen,,,,
kämpfen,bekämpfen,,,,
kaufen,verkaufen,,,,
kennen,erkennen,,,,
kommen,bekommen,,,,
lassen,verlassen,,,,
leben,erleben,,,,
lernen,erlernen,,,,
lohnen,belohnen,entlohnen,,,
lösen,erlösen,,,,
merken,bemerken,,,,
nehmen,benehmen,,,,
nennen,benennen,,,,
nutzen,benutzen,,,,
nützen,benützen,,,,
rauben,berauben,,,,
reichen,erreichen,,,,
scheinen,erscheinen,,,,
schließen,beschließen,entschließen,,,
schreiben,beschreiben,,,,
sichern,versichern,,,,
sitzen,besitzen,,,,
sorgen,besorgen,,,,
sprechen,besprechen,entsprechen,,,
stehen,bestehen,entstehen,erstehen,verstehen,
stellen,erstellen,,,,
stimmen,bestimmen,,,,
stören,zerstören,,,,
streiten,bestreiten,,,,
suchen,besuchen,versuchen,,,
teilen,verteilen,,,,
treffen,betreffen,,,,
treten,betreten,vertreten,,,
warten,erwarten,,,,
weisen,beweisen,,,,
zahlen,bezahlen,,,,
ziehen,beziehen,erziehen,,,
