Verb,Correct instances,Wrong instances,Sum,Correct percentage in verb,Wrong percentage in verb
beantworten,23,1,24,"0,958333333333333","0,041666666666667"
bearbeiten,3,0,3,1,0
bedrohen,3,0,3,1,0
beenden,16,1,17,"0,941176470588235","0,058823529411765"
befinden,7,2,9,"0,777777777777778","0,222222222222222"
befragen,1,3,4,"0,25","0,75"
begehen,5,2,7,"0,714285714285714","0,285714285714286"
behalten,4,2,6,"0,666666666666667","0,333333333333333"
behandeln,16,1,17,"0,941176470588235","0,058823529411765"
beherrschen,6,0,6,1,0
beinhalten,3,0,3,1,0
bekämpfen,4,0,4,1,0
bekommen,248,2,250,"0,992","0,008"
belohnen,7,1,8,"0,875","0,125"
bemerken,10,0,10,1,0
benehmen,5,0,5,1,0
benennen,1,2,3,"0,333333333333333","0,666666666666667"
benutzen,69,1,70,"0,985714285714286","0,014285714285714"
benützen,3,0,3,1,0
berauben,3,0,3,1,0
beschließen,4,0,4,1,0
beschreiben,12,0,12,1,0
besitzen,13,0,13,1,0
besorgen,3,0,3,1,0
besprechen,11,0,11,1,0
bestehen,40,0,40,1,0
bestimmen,24,13,25,"0,96","0,04"
bestreiten,4,0,4,1,0
besuchen,13,1,14,"0,928571428571429","0,071428571428572"
betreffen,24,1,25,"0,96","0,04"
betreten,2,1,3,"0,666666666666667","0,333333333333333"
beweisen,14,1,15,"0,933333333333333","0,066666666666667"
bezahlen,47,0,47,1,0
beziehen,8,0,8,1,0
enthalten,4,1,5,"0,8","0,2"
entlohnen,5,1,6,"0,833333333333333","0,166666666666667"
entschließen,1,2,3,"0,333333333333333","0,666666666666667"
entsprechen,88,1,89,"0,98876404494382","0,01123595505618"
entstehen,29,0,29,1,0
erfahren,21,0,21,1,0
ergeben,2,0,2,1,0
erhalten,19,2,21,"0,904761904761905","0,095238095238095"
erkennen,15,1,16,"0,9375","0,0625"
erleben,14,2,16,"0,875","0,125"
erlösen,0,3,3,0,1
erreichen,66,7,73,"0,904109589041096","0,095890410958904"
erscheinen,7,0,7,1,0
erwarten,26,0,26,1,0
erziehen,14,1,15,"0,933333333333333","0,066666666666667"
gebrauchen,4,0,4,1,0
gefallen,7,0,7,1,0
verändern,33,1,34,"0,970588235294118","0,029411764705882"
verbieten,4,0,4,1,0
verbringen,21,1,22,"0,954545454545455","0,045454545454546"
verdienen,116,0,116,1,0
verfolgen,3,1,4,"0,75","0,25"
verhalten,6,0,6,1,0
verkaufen,11,0,11,1,0
verlassen,7,0,7,1,0
versichern,3,1,4,"0,75","0,25"
verstehen,95,1,96,"0,989583333333333","0,010416666666667"
versuchen,61,2,63,"0,968253968253968","0,031746031746032"
verteilen,1,2,3,"0,333333333333333","0,666666666666667"
vertreten,7,0,7,1,0
zerstören,9,0,9,1,0
,,,,,
Sum,1355,53,1408,,
Accuracy,"0,962357954545455",,,,
